Smiles,CYP1A2,CYP2A6,CYP2B6,CYP2C8,CYP2C9,CYP2C19,CYP2D6,CYP2E1,CYP3A4,St_smi,stratify_col
CCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,,,,,,,,,0.0,CCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,0.0
CC=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CC=O,1.0
C[C@@H](C#Cc1ccc(Cc2ccccc2)s1)N(O)C(N)=O,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,CC(C#Cc1ccc(Cc2ccccc2)s1)N(O)C(N)=O,6.0
Clc1c(COCCOCCCCCCNC[C@H](O)c2cc(CO)c(O)cc2)c(Cl)ccc1,,,,,,,,,1.0,OCc1cc(C(O)CNCCCCCCOCCOCc2c(Cl)cccc2Cl)ccc1O,1.0
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,6.0
[N:1]#[C:2][C:3]([c:4]1[cH:5][c:6]([cH:7][c:8]([cH:9]1)[C:10]([C:11]#[N:12])([CH3:13])[CH3:14])[CH2:15][n:16]2[n:17][cH:18][n:19][cH:20]2)([CH3:21])[CH3:22],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,2.0
CC(O)C1NC(=O)C(Cc2ccccc2)NC(=O)C(C(C)O)NC(=O)C(CCCCN)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)C(CC(N)=O)NC(=O)C(CCCCN)NC(=O)C(N)CSSCCC(C(=O)O)NC(=O)C(CO)NC1=O,,,,,,,,,0.0,CC(O)C1NC(=O)C(Cc2ccccc2)NC(=O)C(C(C)O)NC(=O)C(CCCCN)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)C(CC(N)=O)NC(=O)C(CCCCN)NC(=O)C(N)CSSCCC(C(=O)O)NC(=O)C(CO)NC1=O,0.0
O=C(CO)[C@]1(O)[C@]2(C)[C@H]([C@H]3[C@H]([C@@H](O)C2)[C@]2(C)C([C@@H](C)C3)=CC(=O)C=C2)CC1,,,,,,,,,1.0,CC1CC2C(C(O)CC3(C)C2CCC3(O)C(=O)CO)C2(C)C=CC(=O)C=C12,1.0
CC1(C)OC2CC(=O)OC[C@@]23C1CC(=O)[C@]1(C)C3CC[C@]2(C)C(c3ccoc3)OC(=O)C3O[C@@]321,,,,,,,,,0.0,CC1(C)OC2CC(=O)OCC23C1CC(=O)C1(C)C3CCC2(C)C(c3ccoc3)OC(=O)C3OC321,0.0
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(C)=O,,,,,,,,,0.0,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(C)=O,0.0
Cc1ccsc1-c1ccc([C@@H](C)C(=O)O)cc1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Cc1ccsc1-c1ccc(C(C)C(=O)O)cc1,1.0
Clc1sc2C(O)=C(C(O)=Nc3ncccc3)N(C)S(=O)(=O)c2c1,,,,,1.0,,,,,CN1C(C(O)=Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,1.0
CCNc1nc(NC(C)(C)C)nc(SC)n1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,CCNc1nc(NC(C)(C)C)nc(SC)n1,3.0
