Smiles,atom_target
[Cl:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:6]=[CH:7]1)[CH:8]([C:9]=2[N:10]=[CH:11][CH:12]=[CH:13][CH:14]2)[CH2:15][CH2:16][N:17]([CH3:18])[CH3:19],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
[N:1]#[C:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:7]=[C:8]1[C:9]([F:10])([F:11])[F:12])[NH:13][C:14](=[O:15])[C:16]([OH:17])([CH3:18])[CH2:19][S:20](=[O:21])(=[O:22])[C:23]2=[CH:24][CH:25]=[C:26]([F:27])[CH:28]=[CH:29]2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[F:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:6]=[CH:7]1)[CH:8]([C:9]2=[CH:10][CH:11]=[C:12]([F:13])[CH:14]=[CH:15]2)[N:16]3[CH2:17][CH2:18][N:19]([CH2:20][CH:21]=[CH:22][C:23]4=[CH:24][CH:25]=[C:26]([OH:27])[C:28]([O:29][CH3:30])=[CH:31]4)[CH2:32][CH2:33]3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
[O:1]=[S:2](=[O:3])([C:4]1=[CH:5][CH:6]=[C:7]([CH:8]=[CH:9]1)[C:10]2=[CH:11][C:12]([Cl:13])=[CH:14][N:15]=[C:16]2[C:17]=3[CH:18]=[N:19][C:20](=[CH:21][CH:22]3)[CH2:23][OH:24])[CH3:25],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
[O:1]=[C:2]([NH:3][CH2:4][CH2:5][N:6]([CH2:7][CH3:8])[CH2:9][CH3:10])[C:11]1=[CH:12][C:13]([Cl:14])=[C:15]([NH2:16])[CH:17]=[C:18]1[O:19][CH3:20],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH:4]([OH:5])[C:6]1=[CH:7][CH:8]=[C:9]([Cl:10])[CH:11]=[CH:12]1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[CH:2][NH:3][c:4]1[cH:5][c:6]([cH:7][cH:8][c:9]1[OH:10])[CH:11]([OH:12])[CH2:13][NH:14][CH:15]([CH3:16])[CH2:17][c:18]2[cH:19][cH:20][c:21]([OH:22])[cH:23][cH:24]2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
[F:1][C:2]=1[CH:3]=[CH:4][CH:5]=[C:6]([CH:7]1)[CH:8]([NH:9][C:10]2=[N:11][N:12]3[C:13](=[N:14][CH:15]=[C:16]3[C:17]4=[CH:18][CH:19]=[C:20]([O:21][CH2:22][CH:23]([OH:24])[CH3:25])[CH:26]=[CH:27]4)[CH:28]=[CH:29]2)[CH3:30],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH2:4][N:5]1[C:6](=[O:7])[CH:8]([NH:9][C:10](=[O:11])[CH:12]([S:13][S:14][CH2:15][CH:16]([NH2:17])[C:18](=[O:19])[OH:20])[CH2:21][C:22]2=[CH:23][CH:24]=[CH:25][CH:26]=[CH:27]2)[CH2:28][CH2:29][CH2:30][C:31]1([CH3:32])[CH3:33],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[C:4]1=[CH:5][CH:6]=[C:7]([C:8]([O:9][CH2:10][CH2:11][CH2:12][C:13]([C:14](=[O:15])[OH:16])([CH3:17])[CH3:18])=[CH:19]1)[CH3:20],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
